"55501193S";"DK-SV";"Danmark-Sverige"
"555011951S";"DK-SV";"Danmark-Sverige"
"555011952S";"DK-SV";"Danmark-Sverige"
"55501195S";"DK-SV";"Danmark-Sverige"
"55501196S";"DK-SV";"Danmark-Sverige"
"55501198S";"DK-SV";"Danmark-Sverige"
"5550119910S";"Dk-SV";"Danmark - Sverige"
"5550119911S";"DK-SV";"Danmark-Sverige"
"555011991S";"DK-SV";"Danmark-Sverige"
"555011992S";"DK-SV";"Danmark-Sverige"
"555011993S";"DK-SV";"Danmark-Sverige"
"555011994S";"DK-SV";"Danmark-Sverige"
"555011995S";"DK-SV";"Danmark-Sverige"
"555011996S";"DK-SV";"Danmark-Sverige"
"555011997S";"DK-SV";"Danmark-Sverige"
"555011998S";"DK-SV";"Danmark-Sverige"
"555011999S";"DK-SV";"Danmark-Sverige"
"55501199S";"DK-SV";"Danmark-Sverige"
"55501250S";"DK-SV";"Danmark-Sverige"
"55501280S";"DK-SV";"Danmark-Sverige"
"555012901S";"DK-SV";"Danmark-Sverige"
"55501290S";"DK-SV";"Danmark-Sverige"
"55501295S";"DK-SV";"Danmark-Sverige"
"55501296S";"DK-SV";"Danmark-Sverige"
"55501643S";"DK-SV";"Danmark-Sverige"
"55501678S";"DK-SV";"Danmark-Sverige"
"55501680S";"DK-SV";"Danmark-Sverige"
"55501690S";"DK-SV";"Danmark-Sverige"
"55501699S";"DK-SV";"Danmark-Sverige"
"55501850S";"DK-SV";"Danmark-Sverige"
"55501860S";"DK-SV";"Danmark-Sverige"
"55501868S";"DK-SV";"Danmark-Sverige"
"55501875S";"DK-SV";"Danmark-Sverige"
"55501879S";"DK-SV";"Danmark-Sverige"
"555018951S";"DK-SV";"Danmark-Sverige"
"55501895S";"DK-SV";"Danmark- Sveringe"
"55502090S";"DK-SV";"Danmark-Sverige"
"55502479S";"DK-SV";"Danmark-Sverige"
"555024901S";"DK-SV";"Danmark-Sverige"
"55502490S";"DK-SV";"Danmark-Sverige"
"55502495S";"DK-SV";"Danmark-Sverige"
"555024991S";"DK-SV";"Danmark-Sverige"
"55502499S";"DK-SV";"Danmark-Sverige"
"56015937S";"DK-SV";"Danmark-Sverige"
"560559";"DK-SV";"Danmark-Sverige"
"56105738";"DK-SV";"Danmark-Sverige"
"56105845";"DK-SV";"Danmark-Sverige"
"56105850S";"DK-SV";"Danmark-Sverige"
"561059";"DK-SV";"Danmark-Sverige"
"56106225";"DK-SV";"Danmark-Sverige"
"56106428";"DK-SV";"Danmark-Sverige"
"56107030";"DK-SV";"Danmark-Sverige"
"561226";"DK-SV";"Danmark-Sverige"
"564053";"DK-SV";"Danmark-Sverige"
"56405645S";"DK-SV";"Danmark-Sverige"
"56405738";"DK-SV";"Danmark-Sverige"
"56505125S";"DK-SV";"Danmark-Sverige"
"56505155S";"DK-SV";"Danmark-Sverige"
"56505248";"DK-SV";"Danmark-Sverige"
"56505850S";"DK-SV";"Danmark-Sverige"
"56506038";"DK-SV";"Danmark-Sverige"
"57020201";"DK-SV";"Danmark-Sverige"
"57020203";"DK-SV";"Danmark-Sverige"
"57020204";"DK-SV";"Danmark-Sverige"
"57020301";"DK-SV";"Danmark-Sverige"
"57020303";"DK-SV";"Danmark-Sverige"
"57020304";"DK-SV";"Danmark-Sverige"
"57020401";"DK-SV";"Danmark-Sverige"
"57020403";"DK-SV";"Danmark-Sverige"
"57020404";"DK-SV";"Danmark-Sverige"
"57100201";"DK-SV";"Danmark-Sverige"
"57100203";"DK-SV";"Danmark-Sverige"
"57100204";"DK-SV";"Danmark-Sverige"
"57100301";"DK-SV";"Danmark-Sverige"
"57100303";"DK-SV";"Danmark-Sverige"
"57100304";"DK-SV";"Danmark-Sverige"
"57100401";"DK-SV";"Danmark-Sverige"
"57100403";"DK-SV";"Danmark-Sverige"
"57100404";"DK-SV";"Danmark-Sverige"
"57400201";"DK-SV";"Danmark-Sverige"
"57400203";"DK-SV";"Danmark-Sverige"
"57400204";"DK-SV";"Danmark-Sverige"
"57400301";"DK-SV";"Danmark-Sverige"
"57400303";"DK-SV";"Danmark-Sverige"
"57400304";"DK-SV";"Danmark-Sverige"
"57400401";"DK-SV";"Danmark-Sverige"
"57400403";"DK-SV";"Danmark-Sverige"
"57400404";"DK-SV";"Danmark-Sverige"
"58020101";"DK-SV";"Danmark-Sverige"
"58020102";"DK-SV";"Danmark-Sverige"
"58020103";"DK-SV";"Danmark-Sverige"
"58020104";"DK-SV";"Danmark-Sverige"
"58020201";"DK-SV";"Danmark-Sverige"
"58020202";"DK-SV";"Danmark-Sverige"
"58020203";"DK-SV";"Danmark-Sverige"
"58020204";"DK-SV";"Danmark-Sverige"
"58020301";"DK-SV";"Danmark-Sverige"
"58020302";"DK-SV";"Danmark-Sverige"
"58020303";"DK-SV";"Danmark-Sverige"
"58020304";"DK-SV";"Danmark-Sverige"
"58020401";"DK-SV";"Danmark-Sverige"
"58020402";"DK-SV";"Danmark-Sverige"
"58020403";"DK-SV";"Danmark-Sverige"
"58020404";"DK-SV";"Danmark-Sverige"
"58100101";"DK-SV";"Danmark-Sverige"
"58100102";"DK-SV";"Danmark-Sverige"
"58100103";"DK-SV";"Danmark-Sverige"
"58100104";"DK-SV";"Danmark-Sverige"
"58100201";"dK-SV";"Danmark-Sverige"
"58100202";"DK-SV";"Danmark-Sverige"
"58100203";"DK-SV";"Danmark-Sverige"
"58100204";"DK-SV";"Danmark-Sverige"
"58100301";"DK-SV";"Danmark-Sverige"
"58100302";"Dk-SV";"Danmark-Sverige"
"58100303";"Dk-SV";"Danmark-Sverige"
"58100304";"Dk-SV";"Danmark-Sverige"
"58100401";"Dk-SV";"Danmark-Sverige"
"58100402";"Dk-SV";"Danmark-Sverige"
"58100403";"Dk-SV";"Danmark-Sverige"
"58100404";"Dk-SV";"Danmark-Sverige"
"58400101";"DK-SV";"Danmark-Sverige"
"58400102";"DK-SV";"Danmark-Sverige"
"58400103";"DK-SV";"Danmark-Sverige"
"58400104";"DK-SV";"Danmark-Sverige"
"58400201";"DK-SV";"Danmark-Sverige"
"58400202";"DK-SV";"Danmark-Sverige"
"58400203";"DK-SV";"Danmark-Sverige"
"58400204";"DK-SV";"Danmark-Sverige"
"58400301";"DK-SV";"Danmark-Sverige"
"58400302";"DK-SV";"Danmark-Sverige"
"58400303";"DK-SV";"Danmark-Sverige"
"58400304";"DK-SV";"Danmark-Sverige"
"58400401";"DK-SV";"Danmark-Sverige"
"58400402";"DK-SV";"Danmark-Sverige"
"58400403";"DK-SV";"Danmark-Sverige"
"58400404";"DK-SV";"Danmark-Sverige"
