"1150HTSG";"Nitrogen 50 L. 300 bar 13,4  m3";"0";"0";"0";"0"
"1150L";"Nitrogen FOOD LINE 50 L. 200 bar 9,7 m3";"60";"1";"0";"0"
"1150LSG";"Nitrogen FOOD LINE 50 L. 200 bar 9,7 m3";"0";"0";"0";"0"
"1150MC";"Nitrogen Med.m/cert. 50 L 200 bar 9,7 m3";"0";"0";"0";"0"
"1150SG";"Nitrogen 50 L. 200 bar 9,7 m3";"0";"0";"0";"0"
"1160";"Nitrogen Flydende 5 L. 3,5 m3";"0";"0";"0";"0"
"1161";"Nitrogen Flydende 10 L. 7,1 m3";"0";"0";"0";"0"
"1162";"Nitrogen Flydende 190 L.";"0";"0";"0";"0"
"1162HT";"Nitrogen Flydende 190 L. 15 bar";"60";"1";"0";"0"
"1162LT";"Nitrogen Flydende 190 L. 5 bar";"60";"1";"0";"0"
"1163HT";"Nitrogen Flydende 176 L. 15 bar";"60";"1";"0";"0"
"1163HT21";"Nitrogen Flydende 176L, 21 bar";"60";"1";"0";"0"
"1163LT";"Nitrogen Flydende 176 L. 5 bar";"60";"1";"0";"0"
"1164";"Nitrogen Flydende 30 L. 21,2 m3";"0";"0";"0";"0"
"1165";"Nitrogen Flydende 600 L. 423,0 m3";"0";"0";"0";"0"
"1166";"Nitrogen Flydende 25 L. 17,5 m3";"0";"0";"0";"0"
"1167";"Nitrogen Flydende 50 L. 35,3 m3";"0";"0";"0";"0"
"1168";"Nitrogen Flydende 20 L. 14,1 m3";"0";"0";"0";"0"
"1170";"Nitrogen PhLIN Flydende 25 L.";"0";"0";"0";"0"
"1171LT";"Nitrogen PhLIN Flydende 176 L. 5 bar";"60";"1";"0";"0"
"1172";"Nitrogen L1240 150 bar 69,9 m3";"0";"0";"0";"0"
"1173";"Nitrogen L2040 150 bar 116,5 m3";"0";"0";"0";"0"
"1173L";"Nitrogen FOOD LINE L2040 150 b 116,5 m3";"0";"0";"0";"0"
"1182";"Nitrogen H1240 200 bar 93,6 m3";"60";"1";"0";"0"
"1183";"Nitrogen H2040 200 bar 156,0 m3";"0";"0";"0";"0"
"1184";"Nitrogen H3640 200 bar 280,8 m3";"60";"1";"0";"0"
"1185";"Nitrogen H1250 200 bar 116,4 m3";"60";"1";"0";"0"
"118545";"Nitrogen 4.5 H1250 200 bar 116,4 m3";"60";"1";"1";"0"
"118545SG";"Nitrogen 4.5 H1250 200 bar 116,4 m3";"0";"0";"0";"0"
"118548P";"Nitrogen 4.8 PRO LINE H1250 200 bar";"60";"1";"1";"0"
"118548PK";"Nitrogen 4.8 PRO LINE H1250 200 bar";"0";"0";"0";"0"
"118550S";"Nitrogen 5.0 LAB LINE H1250 200 bar";"60";"1";"1";"0"
"118550SSG";"Nitrogen 5.0 LAB LINE H1250 200 bar";"0";"0";"0";"0"
"118556S";"Nitrogen 5.6 LAB LINE H1250 200 bar";"60";"1";"1";"0"
"118556SSG";"Nitrogen 5.6 LAB LINE H1250 200 bar";"0";"0";"0";"0"
"1185FK";"Nitrogen PHARMA LINE H1250 200 bar 116,4 m3";"36";"1";"0";"0"
"1185K";"Nitrogen H1250 200 bar 116,4 m3";"0";"0";"0";"0"
"1185L";"Nitrogen FOOD LINE H1250 200 b 116,4 m3";"60";"1";"0";"0"
"1185LK";"Nitrogen FOOD LINE H1250 200 b 116,4 m3";"0";"0";"0";"0"
"1185LSG";"Nitrogen FOOD LINE H1250 200 b 116,4 m3";"0";"0";"0";"0"
"1185M";"Nitrogen Med. (HGD) 116,4 m3";"0";"0";"0";"0"
"1185SG";"Nitrogen H1250 200 bar 116,4 m3";"0";"0";"0";"0"
"1186";"Nitrogen H3250 200 bar 310,4 m3";"0";"0";"0";"0"
"1188";"Nitrogen XL-bat. 300 bar 172,0 m3";"60";"1";"0";"0"
"118845";"Nitrogen 4.5 XL-bat. 300 bar 172,0 m3";"60";"1";"1";"0"
"118845SG";"Nitrogen 4.5 XL-bat. 300 bar 172,0 m3";"0";"0";"0";"0"
"118850S";"Nitrogen 5.0 LAB LINE XL-bat. 300 bar";"60";"1";"1";"0"
"118850SSG";"Nitrogen 5.0 LAB LINE XL-bat. 300 bar";"0";"0";"0";"0"
"1188L";"Nitrogen FOOD LINE XL-bat. 300 bar";"60";"1";"0";"0"
"1188LSG";"Nitrogen FOOD LINE XL-bat. 300 bar";"0";"0";"0";"0"
"1188SG";"Nitrogen XL-bat. 300 bar 172,0 m3";"0";"0";"0";"0"
"1196";"Nitrogen TECH LINE Flydende m3";"0";"0";"0";"0"
"1196F";"Nitrogen PHARMA LINE Flydende m3";"0";"0";"0";"0"
"1196L";"Nitrogen FOOD LINE Flydende m3";"0";"0";"0";"0"
"1198";"Nitrogen Flydende KG TECH LINE";"0";"0";"0";"0"
"1198L";"Nitrogen FOOD LINE Flydende KG";"0";"0";"0";"0"
"1199";"Nitrogen TECH LINE Flydende L.";"0";"0";"0";"0"
"11990";"Nitrogen Flydende (ejd.beh) L.";"0";"0";"0";"0"
"119948P";"Nitrogen 4.8 PRO LINE Flydende L.";"0";"0";"0";"0"
"119950S";"Nitrogen 5.0 LAB LINE Flydende L.";"0";"0";"0";"0"
"1199F";"Nitrogen PHARMA LINE Flydende L.";"0";"0";"0";"0"
"1199L";"Nitrogen FOOD LINE Flydende L.";"0";"0";"0";"0"
"1202";"Argon 2 L. 200 bar";"0";"0";"0";"0"
"1203";"Argon 2,5 L. 200 bar";"0";"0";"0";"0"
"1204";"Argon 4 L. 200 bar";"0";"0";"0";"0"
"1205";"Argon 5 L. 200 bar";"0";"0";"0";"0"
"120545";"Argon 4.5 5 L. 200 bar";"0";"0";"0";"0"
"120548P";"Argon 4.8 PRO LINE  5 L. 200 bar";"0";"0";"0";"0"
"120550S";"Argon 5.0 LAB LINE  5 L. 200 bar";"0";"0";"0";"0"
"1205SG";"Argon 5 L. 200 bar";"0";"0";"0";"0"
"1210";"Argon 10 L. 200 bar";"60";"1";"0";"0"
"121045";"Argon 4.5 10 L. 200 bar";"60";"1";"1";"0"
"121048P";"Argon 4.8 PRO LINE 10 L. 200 bar";"0";"0";"0";"0"
"121050S";"Argon 5.0 LAB LINE 10 L 200 bar";"60";"1";"1";"0"
"1210K";"Argon 10 L. 200 bar";"0";"0";"0";"0"
"1210SG";"Argon 10 L. 200 bar";"0";"0";"0";"0"
"1220";"Argon 20 L. 200 bar 4,4 m3";"60";"1";"0";"0"
